Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Air Temperature in degrees C,Dew point temperature in degrees C,Relative humidity in percentage %,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,25,23,30,14.8,9.8,72,0,0,0
2016,5,26,0,0,15.3,9.7,69,1.1,20,9
2016,5,26,0,30,13.7,10,78,0,0,0
2016,5,26,1,0,13.9,10,77,1.1,190,8
2016,5,26,1,30,14.2,9.9,75,0,0,0
2016,5,26,2,0,14,9.9,76,0,0,0
2016,5,26,2,30,14.1,9.6,74,0,0,0
2016,5,26,3,0,14.2,9.7,74,2.5,210,11
2016,5,26,3,30,14.2,9.5,73,2.5,120,13
2016,5,26,4,0,14.1,9.4,73,1.4,360,9
2016,5,26,4,30,13.7,9.4,75,3.1,270,15
2016,5,26,5,0,14.3,9,70,1.4,190,9
2016,5,26,5,30,13.4,9,75,0,0,9
2016,5,26,6,0,14.5,8.5,67,2.5,360,13
2016,5,26,6,30,15.2,8.2,63,2.2,110,11
2016,5,26,7,0,16.6,8.1,57,0,0,4
2016,5,26,7,30,17.6,7.4,51,4.7,20,18
2016,5,26,8,0,18.4,7.3,48,3.1,350,15
2016,5,26,8,30,19.5,7,44,7.2,30,33
2016,5,26,9,0,20.5,6,39,6.1,30,28
2016,5,26,9,30,21.1,6.1,38,5.8,20,26
2016,5,26,10,0,21,6.3,38,4.7,40,21
2016,5,26,10,30,22.7,6.7,36,4.7,40,22
2016,5,26,11,0,23.1,5.3,32,7.8,360,41
2016,5,26,11,30,23.3,5.4,31,8.3,340,39
2016,5,26,12,0,22.7,7.5,38,7.2,340,37
2016,5,26,12,30,22.6,7.4,38,6.7,350,37
2016,5,26,13,0,22.4,7.1,37,8.3,330,37
2016,5,26,13,30,22.4,7.6,39,6.1,340,31
2016,5,26,14,0,22.2,7.8,40,8.6,310,39
2016,5,26,14,30,22.3,7.2,38,7.8,300,42
2016,5,26,15,0,21.9,7.9,41,5.8,320,33
2016,5,26,15,30,21.5,8.6,44,6.7,320,31
2016,5,26,16,0,20.9,7.5,42,6.7,310,35
2016,5,26,16,30,19.1,8.2,49,4.2,310,21
2016,5,26,17,0,18.5,7.9,50,2.5,330,15
2016,5,26,17,30,19.3,8,48,3.6,310,22
2016,5,26,18,0,18.2,7.8,51,5,330,26
2016,5,26,18,30,17.9,8.1,53,3.1,330,17
2016,5,26,19,0,18.2,7.8,51,2.5,310,13
2016,5,26,19,30,18.8,7.3,47,1.4,100,8
2016,5,26,20,0,19.3,7,45,0.6,300,8
2016,5,26,20,30,18.9,7.2,47,1.4,340,9
2016,5,26,21,0,18.6,7.3,48,1.1,300,11
2016,5,26,21,30,18.7,6.9,46,2.5,290,17
2016,5,26,22,0,18.9,6.7,45,3.6,280,18
2016,5,26,22,30,18.7,6.7,46,3.6,260,21
2016,5,26,23,0,18.5,6.7,46,4.2,260,22
2016,5,26,23,30,18.7,6.4,45,3.6,270,15
2016,5,27,0,0,18.6,6.3,45,3.6,250,17
2016,5,27,0,30,18.8,6,43,5.8,230,28
2016,5,27,1,0,18.8,5.8,42,5,250,35
2016,5,27,1,30,19.1,5.4,41,4.2,250,24
2016,5,27,2,0,19.2,5,39,8.6,270,39
2016,5,27,2,30,18.9,5.1,40,2.2,160,15
2016,5,27,3,0,18.6,5.2,41,2.5,250,13
2016,5,27,3,30,18.7,5.1,41,4.2,290,22
2016,5,27,4,0,18.7,4.8,40,4.7,280,21
2016,5,27,4,30,18.9,4.5,39,4.7,280,22
2016,5,27,5,0,18.8,4.7,39,5.8,270,33
2016,5,27,5,30,18.9,4.5,39,6.7,290,33
2016,5,27,6,0,18.5,5.1,41,8.3,270,39
2016,5,27,6,30,19.3,5.2,40,8.3,280,42
2016,5,27,7,0,20.1,5,37,4.7,280,24
2016,5,27,7,30,20.9,4.8,35,3.6,290,18
2016,5,27,8,0,21.9,5.2,34,2.5,320,15
2016,5,27,8,30,22.7,5,32,6.1,270,37
2016,5,27,9,0,22.2,6.5,36,6.1,280,31
2016,5,27,9,30,20.8,8.9,46,6.1,280,37
2016,5,27,10,0,21.2,9,46,7.2,270,33
2016,5,27,10,30,20.8,8.9,46,5.8,250,31
2016,5,27,11,0,17.8,11.6,67,4.7,260,26
2016,5,27,11,30,17.6,12.4,72,8.3,270,42
2016,5,27,12,0,17.4,11.5,68,7.2,260,44
2016,5,27,12,30,17.4,11.5,68,7.8,260,39
2016,5,27,13,0,17.2,11.9,71,8.3,260,41
2016,5,27,13,30,17.8,11.2,65,8.3,260,39
2016,5,27,14,0,18.2,10.8,62,7.8,260,39
2016,5,27,14,30,18.1,11.7,66,8.3,250,46
2016,5,27,15,0,17.7,12.3,71,8.3,260,41
2016,5,27,15,30,15.5,13.9,90,10.3,260,55
2016,5,27,16,0,15.8,13.7,87,9.2,250,52
2016,5,27,16,30,16,13.7,86,6.1,260,37
2016,5,27,17,0,16.2,13,81,7.2,250,48
2016,5,27,17,30,16.5,11.9,74,5,250,28
2016,5,27,18,0,16.4,9.7,65,8.3,250,41
2016,5,27,18,30,16.3,9.6,64,7.8,250,50
2016,5,27,19,0,16.2,8.8,62,7.2,250,39
2016,5,27,19,30,16,9,63,5,260,31
2016,5,27,20,0,15.7,10,69,5.8,270,33
2016,5,27,20,30,15.6,9.4,67,3.6,300,17
2016,5,27,21,0,15.6,8.7,63,5,280,28
2016,5,27,21,30,15.7,9.1,65,5.8,270,33
2016,5,27,22,0,12.4,8.1,75,4.7,270,24
2016,5,27,22,30,13.8,8.8,72,3.6,270,26
2016,5,27,23,0,14.7,9.2,70,2.5,270,13
2016,5,27,23,30,15,8.7,66,2.2,300,9
2016,5,28,0,0,14.7,8.5,66,3.1,60,13
2016,5,28,0,30,14.7,6.9,59,3.1,40,13
2016,5,28,1,0,14.8,7.3,61,2.5,360,13
2016,5,28,1,30,14.7,7.1,60,2.5,350,11
2016,5,28,2,0,14.8,6.8,59,1.1,10,9
2016,5,28,2,30,14.8,6.5,57,2.5,350,13
2016,5,28,3,0,14.8,7.3,61,3.1,10,13
2016,5,28,3,30,14.8,7.3,61,1.4,10,8
2016,5,28,4,0,14.9,5.9,55,1.4,10,8
2016,5,28,4,30,14.9,6.4,57,2.2,70,9
2016,5,28,5,0,14.6,7.5,62,2.2,110,9
2016,5,28,5,30,14.8,7.2,60,1.4,350,11
2016,5,28,6,0,15,8,63,0.6,250,9
2016,5,28,6,30,15.5,8.1,61,0,0,0
2016,5,28,7,0,16,9.2,64,1.4,40,9
2016,5,28,7,30,16.7,8.2,57,1.1,330,8
2016,5,28,8,0,16.7,9.8,64,2.5,30,11
2016,5,28,8,30,16.9,9.6,62,3.1,340,15
2016,5,28,9,0,17,10.2,64,3.1,10,17
2016,5,28,9,30,17.8,10.5,62,3.1,30,15
2016,5,28,10,0,17.8,10.7,63,3.1,50,15
2016,5,28,10,30,17.9,10.8,63,1.1,130,9
2016,5,28,11,0,18.1,10.8,62,3.6,230,21
2016,5,28,11,30,18.5,10.7,60,2.5,230,11
2016,5,28,12,0,18.1,11.1,64,3.1,250,13
2016,5,28,12,30,18,10.1,60,3.6,260,18
2016,5,28,13,0,18,10.3,61,3.1,200,15
2016,5,28,13,30,18.3,11.1,63,2.5,250,17
2016,5,28,14,0,18.4,10.8,61,7.2,240,39
2016,5,28,14,30,18.1,11.3,64,6.7,270,33
2016,5,28,15,0,17.2,11,67,6.1,280,30
2016,5,28,15,30,16.9,10.9,68,5.8,290,28
2016,5,28,16,0,16.2,11.4,73,6.7,270,35
2016,5,28,16,30,15.8,11.3,75,7.2,270,35
2016,5,28,17,0,15.7,11.6,77,3.6,270,21
2016,5,28,17,30,15.7,11.8,78,6.1,260,30
2016,5,28,18,0,15.7,12.8,83,6.1,250,31
2016,5,28,18,30,15.8,12.9,83,4.2,260,18
2016,5,28,19,0,15.8,12.3,80,5.8,250,30
2016,5,28,19,30,15.5,12.2,81,3.6,260,18
2016,5,28,20,0,15.3,12,81,3.1,270,18
2016,5,28,20,30,15.4,12.1,81,2.2,250,13
2016,5,28,21,0,13.4,12.1,92,0,0,5
2016,5,28,21,30,11.7,10.9,95,0,0,0
2016,5,28,22,0,12.2,11.4,95,1.4,30,8
2016,5,28,22,30,11.9,11.5,97,0.6,20,9
2016,5,28,23,0,11.9,11.5,97,0,0,0
2016,5,28,23,30,11.7,10.9,95,1.1,70,9
2016,5,29,0,0,12,10.8,92,1.1,10,9
2016,5,29,0,30,11.6,10.6,94,1.4,320,9
2016,5,29,1,0,11,10.2,95,0,0,8
2016,5,29,1,30,10.7,10.1,96,1.1,140,8
2016,5,29,2,0,10.7,10.3,97,0.6,100,8
2016,5,29,2,30,10.9,9.9,94,0.6,60,8
2016,5,29,3,0,10.5,9.7,95,0.6,110,5
2016,5,29,3,30,10.3,9.7,96,0.6,60,8
2016,5,29,4,0,10.2,9.4,95,0.6,330,8
2016,5,29,4,30,10,9.4,96,0,0,0
2016,5,29,5,0,10.8,9.8,94,0.6,230,9
2016,5,29,5,30,10.3,9.3,94,0.6,100,8
2016,5,29,6,0,9.5,9.1,97,0.6,120,8
2016,5,29,6,30,11.1,9.9,92,0,0,0
2016,5,29,7,0,13.6,11.9,89,0,0,0
2016,5,29,7,30,14.5,11.5,82,0.6,190,9
2016,5,29,8,0,15.1,10.5,74,0,0,5
2016,5,29,8,30,16,10.5,70,0.6,50,5
2016,5,29,9,0,16.7,9.4,62,1.4,110,8
2016,5,29,9,30,17.7,8.5,55,0,0,5
2016,5,29,10,0,17.7,8.5,55,1.1,330,9
2016,5,29,10,30,18.8,9,53,3.1,250,15
2016,5,29,11,0,19.7,8.5,48,3.6,190,21
2016,5,29,11,30,19.7,8,47,2.2,320,17
2016,5,29,12,0,19.8,7.7,46,2.2,240,17
2016,5,29,12,30,20.4,5.3,37,2.5,310,15
2016,5,29,13,0,20.2,7.7,44,2.2,230,13
2016,5,29,13,30,20.2,7.8,45,1.4,30,11
2016,5,29,14,0,19.4,7.4,46,1.1,260,11
2016,5,29,14,30,19.4,5.5,40,1.4,170,11
2016,5,29,15,0,19.1,5.3,40,3.6,60,17
2016,5,29,15,30,17.9,6.3,47,3.6,70,17
2016,5,29,16,0,16,6.8,54,3.1,70,13
2016,5,29,16,30,15.1,6.7,57,2.5,50,11
2016,5,29,17,0,14.2,6.8,61,0.6,50,5
2016,5,29,17,30,13.3,7.3,67,1.4,260,9
2016,5,29,18,0,13.3,7.6,68,2.2,210,13
2016,5,29,18,30,12.9,7.3,69,2.5,260,13
2016,5,29,19,0,14,5.8,58,1.4,240,9
2016,5,29,19,30,13.9,3.7,50,1.4,250,8
2016,5,29,20,0,14.3,2.3,44,2.5,110,11
2016,5,29,20,30,13.9,2,44,0,0,0
2016,5,29,21,0,14.5,-0.4,36,2.2,180,9
2016,5,29,21,30,13.9,0.7,40,0,0,0
2016,5,29,22,0,14.1,1,41,0,0,0
2016,5,29,22,30,13.9,1.4,43,1.1,20,8
2016,5,29,23,0,15.7,-0.5,33,0.6,360,5
2016,5,29,23,30,16.3,-0.1,33,0,0,0
2016,5,30,0,0,15.7,0.6,36,1.1,320,8
2016,5,30,0,30,15.3,3.5,45,0.6,80,8
2016,5,30,1,0,15,5.5,53,0,0,0
2016,5,30,1,30,14.3,6.7,60,0,0,0
2016,5,30,2,0,13.4,7,65,0,0,0
2016,5,30,2,30,14.2,5.5,56,0,0,0
2016,5,30,3,0,13.8,5.8,58,0,0,0
2016,5,30,3,30,12.4,7.7,73,0,0,0
2016,5,30,4,0,12.1,8.5,79,0,0,0
2016,5,30,4,30,11.5,8.9,84,0,0,0
2016,5,30,5,0,11.8,8.8,82,0,0,0
2016,5,30,5,30,12.1,8.7,80,0,0,0
2016,5,30,6,0,12.4,8.1,75,0,0,0
2016,5,30,6,30,12.2,8.8,80,0,0,4
2016,5,30,7,0,12.3,9.5,83,0,0,0
2016,5,30,7,30,12.3,9.5,83,0,0,0
2016,5,30,8,0,12,9.8,86,0,0,0
2016,5,30,8,30,12,9.8,86,0,0,0
2016,5,30,9,0,12,10.2,89,2.2,340,9
2016,5,30,9,30,12.1,10.4,89,1.1,330,8
2016,5,30,10,0,12.6,10.9,89,0.6,360,8
2016,5,30,10,30,13.1,11,87,1.4,20,11
2016,5,30,11,0,13.5,11.8,89,2.2,60,13
2016,5,30,11,30,13.9,11.9,88,1.1,310,9
2016,5,30,12,0,14,12.2,89,1.4,120,11
2016,5,30,12,30,14.2,12.4,89,1.4,90,11
2016,5,30,13,0,14.7,12.3,86,2.5,90,13
2016,5,30,13,30,15,12.4,84,2.2,100,11
2016,5,30,14,0,15.3,12.4,83,2.5,80,11
2016,5,30,14,30,15.1,11.8,81,2.2,100,11
2016,5,30,15,0,14.2,12.2,88,2.2,90,11
2016,5,30,15,30,14.4,12.6,89,1.4,110,9
2016,5,30,16,0,14.5,12.7,89,0,0,5
2016,5,30,16,30,14.5,13.1,91,2.2,20,9
2016,5,30,17,0,14.2,13.3,94,2.2,340,9
2016,5,30,17,30,14,13.1,94,2.2,340,8
2016,5,30,18,0,14,13.1,94,2.2,290,9
2016,5,30,18,30,13.9,13.2,96,1.4,270,9
2016,5,30,19,0,13.9,13.4,97,1.4,250,8
2016,5,30,19,30,13.8,13.4,97,3.1,160,17
2016,5,30,20,0,13.8,13.4,97,1.4,340,11
2016,5,30,20,30,13.9,13.5,97,2.2,270,9
2016,5,30,21,0,14.2,13.8,97,0,0,0
2016,5,30,21,30,14.8,14.3,97,0,0,0
2016,5,30,22,0,14.9,14.4,97,0,0,0
2016,5,30,22,30,15.2,14.5,96,0,0,0
2016,5,30,23,0,14.4,13.5,94,1.1,340,8
2016,5,30,23,30,14.8,13.7,93,1.4,10,8
2016,5,31,0,0,14.6,13.2,91,0,0,0
2016,5,31,0,30,14.7,12.7,88,0.6,90,8
2016,5,31,1,0,14,12.9,93,0,0,0
2016,5,31,1,30,14.3,12.7,90,2.2,110,8
2016,5,31,2,0,14.2,12.2,88,1.1,10,8
2016,5,31,2,30,14,12,88,0,0,0
2016,5,31,3,0,13.6,11.9,89,0,0,0
2016,5,31,3,30,13.5,12,91,0,0,0
2016,5,31,4,0,13.3,12,92,0,0,0
2016,5,31,4,30,12.9,11.8,93,0,0,0
2016,5,31,5,0,13,11.7,92,0,0,0
2016,5,31,5,30,12.8,11.7,93,0,0,0
2016,5,31,6,0,13,11.3,89,1.4,40,8
2016,5,31,6,30,12.4,10.9,91,1.4,90,8
2016,5,31,7,0,12.3,10.4,88,1.4,100,8
2016,5,31,7,30,13.7,10.9,83,0,0,0
2016,5,31,8,0,14.7,11.1,79,0,0,0
2016,5,31,8,30,15.6,8.7,63,1.4,360,8
2016,5,31,9,0,15.4,7.8,60,0.6,110,8
2016,5,31,9,30,16.3,8.7,61,1.1,50,8
2016,5,31,10,0,16,8.5,61,1.4,360,9
2016,5,31,10,30,16.2,8.1,59,1.4,360,9
2016,5,31,11,0,16.4,8.6,60,2.2,150,9
2016,5,31,11,30,16.4,8.3,59,2.5,170,15
2016,5,31,12,0,16.8,8.4,58,2.5,130,15
2016,5,31,12,30,16.3,8.2,59,3.1,130,17
2016,5,31,13,0,16.6,7.2,54,3.6,50,17
2016,5,31,13,30,16.5,7.5,55,3.1,140,13
2016,5,31,14,0,16.2,7.6,57,3.6,130,22
2016,5,31,14,30,16.1,8.2,59,6.7,150,30
2016,5,31,15,0,15.7,7.9,60,5,140,22
2016,5,31,15,30,14.8,9.1,69,4.7,130,21
2016,5,31,16,0,14.8,8.9,68,3.1,130,15
2016,5,31,16,30,14.9,9,68,3.1,160,13
2016,5,31,17,0,15.2,8.9,66,2.5,180,11
2016,5,31,17,30,15.1,9.3,68,2.2,180,9
2016,5,31,18,0,15,9.6,70,2.2,180,9
2016,5,31,18,30,15.1,9.3,68,2.5,160,11
2016,5,31,19,0,15.2,9.2,67,2.5,160,13
2016,5,31,19,30,15.2,9.2,67,3.6,180,17
2016,5,31,20,0,15.1,9.3,68,3.1,160,13
2016,5,31,20,30,14.9,9.5,70,3.1,160,15
2016,5,31,21,0,15,9.1,68,2.2,180,9
2016,5,31,21,30,14.7,9.7,72,3.1,110,13
2016,5,31,22,0,14.5,11.5,82,0.6,350,8
2016,5,31,22,30,14.4,10.4,77,2.5,250,11
2016,5,31,23,0,11.3,9.7,90,1.1,270,5
2016,5,31,23,30,11,9.8,92,1.4,250,8
2016,6,1,0,0,11.7,10.3,91,2.2,170,9
2016,6,1,0,30,11.9,10.3,90,0.6,250,5
2016,6,1,1,0,11.7,10.7,94,2.5,270,11
2016,6,1,1,30,11.7,10.7,94,1.1,240,9
2016,6,1,2,0,12.2,11.2,94,0,0,5
2016,6,1,2,30,12.6,11.7,94,0,0,0
2016,6,1,3,0,12.3,11.5,95,0,0,0
2016,6,1,3,30,12,11.2,95,2.2,20,9
2016,6,1,4,0,12.9,11.2,89,1.4,20,9
2016,6,1,4,30,13.9,10.7,81,1.1,30,5
2016,6,1,5,0,14.3,9.9,75,0,0,0
2016,6,1,5,30,14.6,10,74,0,0,0
2016,6,1,6,0,14.9,10.3,74,2.2,200,9
2016,6,1,6,30,13.9,10.5,80,1.4,190,8
2016,6,1,7,0,14.7,10.3,75,0,0,0
2016,6,1,7,30,14.8,10.6,76,1.1,340,8
2016,6,1,8,0,15.8,10.5,71,0,0,0
2016,6,1,8,30,16,11.2,73,0,0,0
2016,6,1,9,0,12,8.4,79,0,0,0
2016,6,1,9,30,14.4,10.6,78,1.1,210,9
2016,6,1,10,0,11.5,8.5,82,2.2,180,9
2016,6,1,10,30,13,9.7,80,2.5,190,11
2016,6,1,11,0,12.9,8.7,76,1.1,180,8
2016,6,1,11,30,11.5,9.1,85,2.5,180,11
2016,6,1,12,0,11.4,8.6,83,3.1,220,15
